Quantity,Hardware Description with Size,Grade,Length (in)
129,"A563 3/4"" Heavy Hex Nut",ASTM A307 Grade B,9.304
2,"ASTM A307 1/2"" All Thread Rod",ASTM B8 Class 1,1.999
12,"SS 1/2""-13 Hex Bolt",ASTM A354 Grade BC,13.78
104,"ASTM A502 3/4"" Solid Rivet",ASTM A354 Grade BC,3.038
66,"Aluminum 3/4"" Turnbuckle",ASTM F1554 Grade 105,1.704
86,"ASTM A449 3/4"" Stud",SAE Grade 5,6.715
114,"ASTM F1554 3/4"" Anchor Bolt",ASTM A354 Grade BC,9.509
61,"ASTM A502 1/2"" Solid Rivet",SAE J429 Grade 5,1.92
170,"ASTM A502 1/2"" Solid Rivet",ASTM A325,11.477
180,SS M10x1.5 Hex Bolt,SAE Grade 8,12.998
152,"Aluminum 5/8"" Turnbuckle",ASTM A354 Grade BD,18.495
92,"A563 3/4"" Heavy Hex Nut",ASTM F1554 Grade 36,8.899
31,"A563 5/8"" Heavy Hex Nut",SAE J429 Grade 8,1.626
12,"ASTM A502 1/2"" Solid Rivet",ASTM A354 Grade BD,14.133
154,"ASTM A449 3/4"" Stud",ASTM F1554 Grade 55,11.984
30,SS M12x1.75 Hex Bolt,ASTM F1554 Grade 105,1.137
184,"SS 1""-8 Hex Bolt",ASTM F1554 Grade 36,4.544
116,"ASTM A307 1/2"" All Thread Rod",SAE J429 Grade 8,7.464
15,"SS 1/2"" Flat Washer",ASTM F1554 Grade 36,12.896
103,"SS 3/4"" Flat Washer",ASTM B8 Class 1,6.696
155,"ASTM F1554 5/8"" Anchor Bolt",SAE Grade 8,4.054
193,SS M12x1.75 Hex Bolt,ASTM B8 Class 1,17.956
192,"SS 5/8""-11 Hex Bolt",ASTM F1554 Grade 105,17.999
197,"SS 1""-8 Hex Bolt",ASTM A354 Grade BC,7.777
107,"ASTM A502 1/2"" Solid Rivet",ASTM A325,19.64
71,"SS 1/4""-20 Hex Bolt",ASTM A354 Grade BD,18.969
51,"ASTM A502 1/2"" Solid Rivet",ASTM F1554 Grade 105,13.571
68,SS M12x1.75 Hex Bolt,SAE Grade 8,6.032
98,"SS 1/4""-20 Hex Bolt",SAE J429 Grade 2,18.108
170,SS M12x1.75 Hex Bolt,ASTM A354 Grade BD,18.312
54,"ASTM F1554 5/8"" Anchor Bolt",ASTM A307 Grade B,16.169
167,"SS 3/4""-10 Hex Bolt",ASTM A307 Grade A,9.012
129,"SS 1/2"" Flat Washer",ASTM F1554 Grade 36,14.575
36,"A563 5/8"" Heavy Hex Nut",SAE J429 Grade 2,11.96
81,SS M10x1.5 Hex Bolt,ASTM A354 Grade BC,15.413
12,"ASTM A502 1/2"" Solid Rivet",ASTM A307 Grade A,4.255
104,"ASTM A449 1/2"" Stud",ASTM F1554 Grade 105,6.396
20,SS M16x2.0 Hex Bolt,ASTM A307 Grade B,0.412
180,"ASTM F1554 5/8"" Anchor Bolt",ASTM A354 Grade BD,18.255
67,SS M12x1.75 Hex Bolt,SAE J429 Grade 2,7.613
11,"Aluminum 5/8"" Turnbuckle",SAE J429 Grade 8,12.641
74,SS M12x1.75 Hex Bolt,ASTM A354 Grade BD,14.052
123,"SS 3/4"" Flat Washer",SAE J429 Grade 8,17.284
53,"SS 5/8""-11 Hex Bolt",ASTM A325,6.556
85,"ASTM A502 1/2"" Solid Rivet",ASTM A490,2.567
23,ASTM A307 M12 All Thread Rod,SAE J429 Grade 8,17.742
159,SS M12x1.75 Hex Bolt,ASTM B8M Class 2,4.489
112,"Steel 5/8"" Turnbuckle",ASTM A354 Grade BC,17.203
93,"ASTM A307 1/2"" All Thread Rod",SAE J429 Grade 5,16.577
55,"A563 3/4"" Heavy Hex Nut",ASTM A490,16.267
175,"ASTM A307 1/2"" All Thread Rod",SAE J429 Grade 5,9.752
116,"ASTM A449 1/2"" Stud",ASTM A307 Grade A,13.443
139,"Aluminum 5/8"" Turnbuckle",ASTM A354 Grade BD,9.248
14,"ASTM A502 1/2"" Solid Rivet",SAE J429 Grade 2,7.434
169,"SS 1/2""-13 Hex Bolt",SAE J429 Grade 2,2.31
153,SS M10x1.5 Hex Bolt,SAE J429 Grade 5,15.228
47,"SS 1/2"" Flat Washer",SAE J429 Grade 8,17.476
147,"ASTM A502 3/4"" Solid Rivet",ASTM B8M Class 2,8.496
130,"A563 3/4"" Heavy Hex Nut",SAE Grade 8,4.135
182,SS M10x1.5 Hex Bolt,ASTM B8M Class 2,16.59
117,"ASTM A449 3/4"" Stud",ASTM A354 Grade BD,5.33
91,"Aluminum 5/8"" Turnbuckle",ASTM A354 Grade BC,19.162
154,"ASTM A307 1/2"" All Thread Rod",ASTM F1554 Grade 36,3.645
38,"SS 1""-8 Hex Bolt",ASTM A490,10.788
55,"ASTM A502 3/4"" Solid Rivet",SAE Grade 5,18.486
182,"SS 1/2""-13 Hex Bolt",SAE Grade 5,16.975
169,"A563 3/4"" Heavy Hex Nut",SAE J429 Grade 5,0.587
121,"SS 1/2""-13 Hex Bolt",ASTM A490,16.632
119,"ASTM F1554 5/8"" Anchor Bolt",ASTM F1554 Grade 36,9.725
68,"ASTM A449 3/4"" Stud",ASTM B8 Class 1,18.556
160,SS M16x2.0 Hex Bolt,ASTM B8 Class 1,1.936
145,"SS 1""-8 Hex Bolt",ASTM A354 Grade BD,1.792
53,"A563 3/4"" Heavy Hex Nut",ASTM B8M Class 2,5.802
68,"Steel 5/8"" Turnbuckle",ASTM F1554 Grade 55,12.691
96,"Aluminum 3/4"" Turnbuckle",ASTM F1554 Grade 55,11.354
142,"ASTM A449 1/2"" Stud",ASTM A325,7.104
47,"SS 3/4""-10 Hex Bolt",ASTM B8 Class 1,7.029
172,"SS 3/4"" Flat Washer",ASTM B8M Class 2,7.07
186,"SS 3/8""-16 Hex Bolt",ASTM A325,8.164
107,"SS 5/8""-11 Hex Bolt",ASTM F1554 Grade 105,4.48
14,"SS 3/4"" Flat Washer",SAE J429 Grade 5,13.608
104,"SS 5/8""-11 Hex Bolt",ASTM A354 Grade BC,4.784
106,"ASTM A307 3/4"" All Thread Rod",SAE J429 Grade 8,11.018
91,SS M10x1.5 Hex Bolt,ASTM A354 Grade BC,10.84
163,"ASTM A502 1/2"" Solid Rivet",SAE J429 Grade 5,6.751
152,"SS 1/2"" Flat Washer",ASTM A354 Grade BC,2.222
70,"Aluminum 3/4"" Turnbuckle",ASTM B8M Class 2,17.992
55,"ASTM A449 1/2"" Stud",ASTM A354 Grade BC,6.684
64,"ASTM A502 3/4"" Solid Rivet",ASTM A354 Grade BC,1.394
186,SS M12x1.75 Hex Bolt,ASTM B8 Class 1,19.608
148,"SS 3/8""-16 Hex Bolt",ASTM B8 Class 1,15.789
69,ASTM A307 M12 All Thread Rod,ASTM A490,6.39
124,"A563 3/4"" Heavy Hex Nut",ASTM A325,2.268
182,"ASTM F1554 3/4"" Anchor Bolt",SAE J429 Grade 2,0.412
74,SS M10x1.5 Hex Bolt,ASTM F1554 Grade 105,13.259
119,SS M10x1.5 Hex Bolt,ASTM F1554 Grade 36,5.531
121,"ASTM A502 1/2"" Solid Rivet",ASTM A354 Grade BC,14.019
93,"A563 3/4"" Heavy Hex Nut",SAE Grade 5,13.944
14,"ASTM A307 3/4"" All Thread Rod",ASTM B8M Class 2,6.553
99,"Steel 5/8"" Turnbuckle",ASTM F1554 Grade 105,17.994
134,"ASTM A449 3/4"" Stud",ASTM A490,6.945
141,"Steel 3/4"" Turnbuckle",SAE Grade 5,7.32
81,"Steel 3/4"" Turnbuckle",SAE J429 Grade 8,11.415
127,"ASTM A449 3/4"" Stud",ASTM A490,8.0
83,"SS 3/4"" Flat Washer",ASTM B8 Class 1,19.285
109,"A563 3/4"" Heavy Hex Nut",ASTM F1554 Grade 105,0.379
161,SS M8x1.25 Hex Bolt,ASTM F1554 Grade 105,15.894
47,"A563 3/4"" Heavy Hex Nut",ASTM A354 Grade BC,10.104
45,"SS 3/4"" Flat Washer",ASTM F1554 Grade 36,19.005
193,"SS 3/4"" Flat Washer",SAE Grade 5,6.497
159,"ASTM A502 1/2"" Solid Rivet",ASTM F1554 Grade 105,13.977
34,"SS 3/4""-10 Hex Bolt",ASTM F1554 Grade 105,7.012
165,"A563 3/4"" Heavy Hex Nut",SAE J429 Grade 8,2.993
175,"Aluminum 3/4"" Turnbuckle",SAE J429 Grade 2,10.333
162,ASTM A307 M12 All Thread Rod,SAE Grade 8,10.908
52,"Aluminum 3/4"" Turnbuckle",ASTM F1554 Grade 55,18.029
7,"Aluminum 3/4"" Turnbuckle",ASTM A307 Grade A,9.199
74,"ASTM F1554 5/8"" Anchor Bolt",ASTM B8M Class 2,11.941
128,ASTM A307 M12 All Thread Rod,SAE Grade 5,7.096
56,"SS 1/2"" Flat Washer",SAE J429 Grade 2,4.437
55,"Aluminum 5/8"" Turnbuckle",ASTM B8M Class 2,17.363
52,"ASTM A449 1/2"" Stud",ASTM F1554 Grade 55,0.624
68,"ASTM A449 3/4"" Stud",ASTM A325,15.243
110,"SS 3/8""-16 Hex Bolt",SAE J429 Grade 2,10.165
89,"A563 5/8"" Heavy Hex Nut",ASTM B8M Class 2,4.969
98,SS M8x1.25 Hex Bolt,ASTM B8M Class 2,2.958
196,"ASTM F1554 5/8"" Anchor Bolt",SAE Grade 5,1.55
123,"SS 5/8""-11 Hex Bolt",ASTM A354 Grade BD,14.875
150,ASTM A307 M12 All Thread Rod,SAE J429 Grade 8,2.074
106,"ASTM A449 1/2"" Stud",ASTM B8 Class 1,7.107
14,"SS 1/2""-13 Hex Bolt",SAE Grade 5,11.484
139,"SS 1/2"" Flat Washer",ASTM A490,19.512
178,SS M16x2.0 Hex Bolt,ASTM A307 Grade B,6.148
185,"A563 3/4"" Heavy Hex Nut",SAE Grade 5,17.136
46,"ASTM A449 3/4"" Stud",ASTM F1554 Grade 55,4.89
161,SS M16x2.0 Hex Bolt,SAE J429 Grade 2,12.145
18,"ASTM A502 3/4"" Solid Rivet",ASTM A307 Grade B,9.793
109,"Aluminum 5/8"" Turnbuckle",ASTM A354 Grade BC,11.488
33,"ASTM A502 1/2"" Solid Rivet",ASTM A307 Grade A,10.671
179,"Aluminum 3/4"" Turnbuckle",ASTM B8 Class 1,11.593
52,"A563 3/4"" Heavy Hex Nut",ASTM F1554 Grade 55,7.043
90,"SS 3/4""-10 Hex Bolt",ASTM F1554 Grade 55,17.274
173,"SS 1/2"" Flat Washer",ASTM B8M Class 2,16.736
129,"ASTM F1554 3/4"" Anchor Bolt",ASTM A325,19.3
38,"ASTM F1554 3/4"" Anchor Bolt",ASTM B8M Class 2,6.647
180,"A563 5/8"" Heavy Hex Nut",ASTM B8M Class 2,18.093
12,SS M16x2.0 Hex Bolt,SAE J429 Grade 5,16.688
112,ASTM A307 M12 All Thread Rod,ASTM B8M Class 2,7.008
182,"Aluminum 5/8"" Turnbuckle",ASTM A354 Grade BD,18.867
136,"ASTM F1554 3/4"" Anchor Bolt",ASTM A307 Grade A,19.633
62,"Steel 3/4"" Turnbuckle",ASTM A354 Grade BC,7.509
6,"Aluminum 3/4"" Turnbuckle",ASTM A354 Grade BD,12.937
94,SS M12x1.75 Hex Bolt,ASTM A325,18.394
7,"Aluminum 5/8"" Turnbuckle",SAE J429 Grade 8,13.28
37,"ASTM F1554 5/8"" Anchor Bolt",ASTM A490,5.415
23,"SS 1""-8 Hex Bolt",SAE Grade 5,3.378
10,"ASTM A502 3/4"" Solid Rivet",ASTM A354 Grade BD,15.997
42,"A563 5/8"" Heavy Hex Nut",ASTM A354 Grade BC,16.901
200,SS M16x2.0 Hex Bolt,SAE J429 Grade 8,0.509
77,"ASTM A502 3/4"" Solid Rivet",ASTM B8M Class 2,4.311
170,"SS 3/8""-16 Hex Bolt",ASTM A354 Grade BC,13.842
77,SS M10x1.5 Hex Bolt,ASTM A307 Grade A,5.71
175,ASTM A307 M12 All Thread Rod,ASTM F1554 Grade 36,1.237
174,"ASTM A502 1/2"" Solid Rivet",SAE J429 Grade 5,19.789
112,"ASTM A307 3/4"" All Thread Rod",ASTM F1554 Grade 105,18.152
59,"ASTM A449 3/4"" Stud",SAE Grade 5,0.982
116,"Steel 5/8"" Turnbuckle",ASTM A354 Grade BC,18.952
86,SS M8x1.25 Hex Bolt,ASTM B8 Class 1,13.669
167,"SS 1""-8 Hex Bolt",SAE J429 Grade 2,13.631
34,SS M12x1.75 Hex Bolt,ASTM F1554 Grade 55,15.577
9,"Aluminum 3/4"" Turnbuckle",ASTM F1554 Grade 55,1.066
123,"Steel 5/8"" Turnbuckle",ASTM A354 Grade BD,12.429
189,"SS 3/4""-10 Hex Bolt",SAE Grade 5,9.603
123,"ASTM A502 1/2"" Solid Rivet",SAE J429 Grade 2,19.043
68,"Steel 5/8"" Turnbuckle",SAE J429 Grade 5,5.257
123,"A563 3/4"" Heavy Hex Nut",SAE J429 Grade 5,2.53
63,"SS 1/2""-13 Hex Bolt",SAE Grade 5,2.318
135,"ASTM A307 1/2"" All Thread Rod",SAE J429 Grade 5,2.359
181,"Aluminum 5/8"" Turnbuckle",ASTM B8M Class 2,9.596
9,"SS 1/2""-13 Hex Bolt",ASTM F1554 Grade 105,6.24
73,"Aluminum 3/4"" Turnbuckle",ASTM F1554 Grade 55,0.801
183,"Aluminum 5/8"" Turnbuckle",ASTM A307 Grade A,7.805
40,"SS 1""-8 Hex Bolt",SAE Grade 8,1.764
164,"Aluminum 5/8"" Turnbuckle",SAE J429 Grade 2,14.628
60,"Aluminum 3/4"" Turnbuckle",SAE J429 Grade 5,17.735
69,"Steel 3/4"" Turnbuckle",ASTM A325,1.057
94,"ASTM A449 1/2"" Stud",ASTM B8 Class 1,11.97
135,SS M12x1.75 Hex Bolt,SAE Grade 8,4.207
98,"ASTM A307 3/4"" All Thread Rod",ASTM A325,1.905
42,"Steel 3/4"" Turnbuckle",ASTM A354 Grade BC,2.329
5,"ASTM A449 3/4"" Stud",ASTM A490,12.357
136,"SS 3/4""-10 Hex Bolt",ASTM A307 Grade B,1.703
8,"SS 1/4""-20 Hex Bolt",ASTM A307 Grade B,3.544
179,SS M10x1.5 Hex Bolt,SAE J429 Grade 5,0.499
98,"A563 5/8"" Heavy Hex Nut",ASTM B8 Class 1,12.388
115,"ASTM A449 3/4"" Stud",ASTM F1554 Grade 36,5.422
179,"SS 3/4""-10 Hex Bolt",ASTM A307 Grade A,17.909
172,"SS 3/4""-10 Hex Bolt",SAE J429 Grade 2,10.211
5,"ASTM A502 3/4"" Solid Rivet",SAE J429 Grade 5,13.227
97,ASTM A307 M12 All Thread Rod,ASTM F1554 Grade 36,0.928
149,"SS 3/4"" Flat Washer",ASTM F1554 Grade 105,18.325
121,"ASTM A449 1/2"" Stud",ASTM A354 Grade BD,18.46
49,"ASTM A502 3/4"" Solid Rivet",ASTM B8M Class 2,15.558
171,"Aluminum 3/4"" Turnbuckle",ASTM A354 Grade BD,9.324
100,"ASTM A502 3/4"" Solid Rivet",ASTM A490,8.007
42,SS M10x1.5 Hex Bolt,ASTM F1554 Grade 55,1.748
48,"ASTM F1554 3/4"" Anchor Bolt",ASTM A490,12.122
28,"SS 1/2"" Flat Washer",ASTM A490,19.528
131,"SS 3/4""-10 Hex Bolt",SAE J429 Grade 2,4.942
52,"SS 1/2"" Flat Washer",ASTM F1554 Grade 36,7.963
143,SS M12x1.75 Hex Bolt,SAE J429 Grade 2,1.441
74,"ASTM A502 3/4"" Solid Rivet",ASTM A307 Grade A,14.822
51,"Steel 5/8"" Turnbuckle",SAE Grade 5,12.554
31,SS M12x1.75 Hex Bolt,SAE Grade 5,1.213
22,"ASTM A307 1/2"" All Thread Rod",SAE Grade 5,9.569
88,"ASTM A449 1/2"" Stud",ASTM B8M Class 2,19.954
12,"SS 1/4""-20 Hex Bolt",ASTM A354 Grade BD,19.634
116,"ASTM A307 1/2"" All Thread Rod",SAE J429 Grade 8,12.142
128,"ASTM A307 1/2"" All Thread Rod",ASTM A354 Grade BD,2.858
20,SS M12x1.75 Hex Bolt,ASTM F1554 Grade 55,8.89
43,"SS 1/2""-13 Hex Bolt",SAE J429 Grade 5,7.344
49,SS M16x2.0 Hex Bolt,SAE J429 Grade 5,14.166
93,SS M12x1.75 Hex Bolt,ASTM A307 Grade B,11.263
171,SS M12x1.75 Hex Bolt,SAE J429 Grade 5,15.675
100,SS M12x1.75 Hex Bolt,SAE J429 Grade 5,16.69
17,"SS 1/2"" Flat Washer",ASTM A354 Grade BD,8.051
106,"ASTM F1554 3/4"" Anchor Bolt",SAE J429 Grade 5,17.881
13,"ASTM A449 3/4"" Stud",SAE Grade 5,16.21
48,SS M12x1.75 Hex Bolt,ASTM B8 Class 1,5.872
53,SS M12x1.75 Hex Bolt,ASTM B8M Class 2,13.495
22,SS M8x1.25 Hex Bolt,SAE Grade 8,1.455
145,SS M16x2.0 Hex Bolt,ASTM A490,6.549
159,"Steel 5/8"" Turnbuckle",ASTM B8M Class 2,10.796
69,"SS 3/4""-10 Hex Bolt",ASTM B8 Class 1,13.201
11,SS M16x2.0 Hex Bolt,SAE J429 Grade 5,3.318
11,"ASTM F1554 3/4"" Anchor Bolt",ASTM A307 Grade B,19.666
12,SS M10x1.5 Hex Bolt,SAE J429 Grade 2,8.116
41,"SS 1/2"" Flat Washer",ASTM F1554 Grade 36,9.169
134,"SS 3/4""-10 Hex Bolt",ASTM B8M Class 2,3.79
46,"Aluminum 5/8"" Turnbuckle",SAE Grade 5,12.614
109,"Aluminum 3/4"" Turnbuckle",SAE Grade 8,10.391
109,"ASTM A449 3/4"" Stud",SAE J429 Grade 2,17.704
47,"ASTM F1554 5/8"" Anchor Bolt",SAE Grade 8,8.228
19,"SS 3/4"" Flat Washer",ASTM A354 Grade BD,19.098
133,"Aluminum 3/4"" Turnbuckle",ASTM A354 Grade BD,8.456
195,SS M12x1.75 Hex Bolt,SAE J429 Grade 8,17.014
20,"SS 3/4""-10 Hex Bolt",ASTM F1554 Grade 105,19.537
103,SS M10x1.5 Hex Bolt,ASTM F1554 Grade 36,9.823
147,"ASTM A307 1/2"" All Thread Rod",ASTM B8M Class 2,16.072
115,"SS 3/4""-10 Hex Bolt",ASTM A307 Grade A,7.861
161,"ASTM A449 1/2"" Stud",SAE J429 Grade 5,16.46
155,"SS 3/4""-10 Hex Bolt",ASTM B8 Class 1,12.85
22,"SS 1/2"" Flat Washer",ASTM A490,11.434
58,"SS 5/8""-11 Hex Bolt",ASTM F1554 Grade 36,8.705
157,SS M8x1.25 Hex Bolt,SAE J429 Grade 5,14.171
161,"SS 3/4""-10 Hex Bolt",SAE Grade 5,0.573
68,SS M12x1.75 Hex Bolt,ASTM F1554 Grade 105,0.215
109,"ASTM A307 3/4"" All Thread Rod",SAE Grade 8,17.505
120,"A563 5/8"" Heavy Hex Nut",ASTM A354 Grade BD,17.721
81,"ASTM F1554 3/4"" Anchor Bolt",SAE J429 Grade 5,10.582
8,"A563 5/8"" Heavy Hex Nut",ASTM A307 Grade B,16.707
96,"SS 3/8""-16 Hex Bolt",SAE J429 Grade 5,7.595
37,"SS 5/8""-11 Hex Bolt",ASTM A490,15.241
173,"ASTM A307 3/4"" All Thread Rod",ASTM F1554 Grade 55,13.031
191,"SS 3/4"" Flat Washer",ASTM A490,5.647
93,SS M10x1.5 Hex Bolt,ASTM A307 Grade B,8.988
72,"ASTM A307 1/2"" All Thread Rod",SAE J429 Grade 5,10.378
14,"SS 3/8""-16 Hex Bolt",ASTM A307 Grade A,9.94
44,"ASTM F1554 3/4"" Anchor Bolt",ASTM B8 Class 1,6.357
162,ASTM A307 M12 All Thread Rod,SAE J429 Grade 5,8.776
30,"A563 3/4"" Heavy Hex Nut",ASTM A490,9.942
140,"ASTM A449 3/4"" Stud",ASTM A307 Grade B,13.882
133,"ASTM F1554 5/8"" Anchor Bolt",SAE J429 Grade 8,18.687
120,"ASTM A307 1/2"" All Thread Rod",ASTM B8 Class 1,12.389
176,"SS 1/2"" Flat Washer",ASTM A354 Grade BD,11.268
102,"SS 1/4""-20 Hex Bolt",ASTM A354 Grade BD,8.25
91,"Aluminum 5/8"" Turnbuckle",ASTM A307 Grade A,7.88
4,"SS 1/2"" Flat Washer",ASTM B8 Class 1,5.624
125,SS M10x1.5 Hex Bolt,SAE J429 Grade 8,11.843
115,"SS 1/2""-13 Hex Bolt",ASTM B8M Class 2,16.929
45,"SS 3/8""-16 Hex Bolt",ASTM F1554 Grade 105,13.41
139,ASTM A307 M12 All Thread Rod,ASTM A490,5.561
5,"ASTM A502 1/2"" Solid Rivet",ASTM A325,10.051
15,ASTM A307 M12 All Thread Rod,SAE Grade 8,1.908
156,"A563 3/4"" Heavy Hex Nut",ASTM F1554 Grade 105,0.275
144,SS M10x1.5 Hex Bolt,SAE Grade 8,6.481
129,SS M16x2.0 Hex Bolt,SAE J429 Grade 8,5.076
33,"ASTM A307 1/2"" All Thread Rod",ASTM A354 Grade BC,15.776
47,SS M12x1.75 Hex Bolt,ASTM F1554 Grade 36,16.023
21,SS M10x1.5 Hex Bolt,ASTM A307 Grade B,2.41
85,"ASTM A307 3/4"" All Thread Rod",ASTM F1554 Grade 105,16.756
173,SS M16x2.0 Hex Bolt,ASTM A490,14.773
153,ASTM A307 M12 All Thread Rod,ASTM A325,17.314
27,"ASTM A307 1/2"" All Thread Rod",ASTM F1554 Grade 105,15.797
45,"SS 1/4""-20 Hex Bolt",ASTM F1554 Grade 105,7.7
63,ASTM A307 M12 All Thread Rod,ASTM B8M Class 2,11.761
63,"ASTM A307 3/4"" All Thread Rod",ASTM A490,15.746
155,"SS 1""-8 Hex Bolt",ASTM F1554 Grade 105,8.691
