Quantity,Material with Thickness,Grade,Length (ft)
1,PL 1/2 Steel Plate,ASTM A500 Grade C,34.96
34,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,36.48
19,C10x15.3 Channel,ASTM A500 Grade C,30.06
44,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,26.66
31,C8x11.5 Channel,ASTM A500 Grade B,29.97
15,W10x22 Wide Flange Beam,ASTM A709 Grade 50,5.15
13,HSS6x6x3/8 Hollow Structural Section,ASTM A588,15.35
3,HSS6x6x3/8 Hollow Structural Section,ASTM A992,28.52
2,HSS6x6x3/8 Hollow Structural Section,ASTM A36,32.86
43,W10x22 Wide Flange Beam,ASTM A588,32.97
34,PL 3/8 Steel Plate,ASTM A588,32.32
42,HSS6x6x3/8 Hollow Structural Section,ASTM A588,27.19
42,PL 1/2 Steel Plate,ASTM A572 Grade 50,33.71
48,L3x3x1/4 Angle,ASTM A709 Grade 50,20.23
29,W8x18 Wide Flange Beam,ASTM A588,1.29
10,W10x22 Wide Flange Beam,ASTM A572 Grade 50,25.88
6,HSS6x6x3/8 Hollow Structural Section,ASTM A992,4.02
42,PL 3/8 Steel Plate,ASTM A36,32.65
28,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,13.62
42,PL 3/8 Steel Plate,ASTM A36,24.75
2,C10x15.3 Channel,ASTM A992,25.44
33,PL 3/8 Steel Plate,ASTM A500 Grade C,9.1
40,C10x15.3 Channel,ASTM A500 Grade C,7.0
6,W10x22 Wide Flange Beam,ASTM A500 Grade C,5.42
26,PL 3/8 Steel Plate,ASTM A500 Grade B,8.58
29,C8x11.5 Channel,ASTM A36,4.59
37,PL 1/2 Steel Plate,ASTM A572 Grade 50,25.16
19,W10x22 Wide Flange Beam,ASTM A500 Grade B,29.68
50,C10x15.3 Channel,ASTM A36,35.61
47,C10x15.3 Channel,ASTM A500 Grade C,24.72
27,L3x3x1/4 Angle,ASTM A500 Grade B,33.62
25,PL 3/8 Steel Plate,ASTM A709 Grade 50,35.57
21,C8x11.5 Channel,ASTM A36,39.94
11,L3x3x1/4 Angle,ASTM A588,8.17
26,W10x22 Wide Flange Beam,ASTM A500 Grade C,12.34
13,W10x22 Wide Flange Beam,ASTM A500 Grade C,6.14
41,L3x3x1/4 Angle,ASTM A500 Grade C,33.6
33,W8x18 Wide Flange Beam,ASTM A992,7.37
3,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,10.42
14,L3x3x1/4 Angle,ASTM A36,37.52
23,W10x22 Wide Flange Beam,ASTM A709 Grade 50,17.86
34,PL 1/2 Steel Plate,ASTM A36,30.87
45,PL 3/8 Steel Plate,ASTM A500 Grade B,14.79
38,L3x3x1/4 Angle,ASTM A992,18.82
4,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,29.66
1,C10x15.3 Channel,ASTM A36,36.21
28,L3x3x1/4 Angle,ASTM A36,18.31
8,L4x4x3/8 Angle,ASTM A588,13.48
18,W10x22 Wide Flange Beam,ASTM A992,2.2
16,PL 1/2 Steel Plate,ASTM A709 Grade 50,32.06
45,HSS6x6x3/8 Hollow Structural Section,ASTM A588,3.78
36,PL 3/8 Steel Plate,ASTM A572 Grade 50,8.01
23,PL 1/2 Steel Plate,ASTM A500 Grade C,9.88
32,L4x4x3/8 Angle,ASTM A588,5.83
6,C8x11.5 Channel,ASTM A572 Grade 50,18.91
14,L4x4x3/8 Angle,ASTM A500 Grade B,8.36
1,C8x11.5 Channel,ASTM A992,19.94
27,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,1.03
13,PL 1/2 Steel Plate,ASTM A572 Grade 50,15.8
15,W8x18 Wide Flange Beam,ASTM A36,16.38
9,L3x3x1/4 Angle,ASTM A36,30.98
10,PL 1/2 Steel Plate,ASTM A500 Grade C,23.16
18,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,33.22
37,C8x11.5 Channel,ASTM A36,30.86
20,L4x4x3/8 Angle,ASTM A572 Grade 50,13.49
3,PL 1/2 Steel Plate,ASTM A572 Grade 50,39.69
39,W10x22 Wide Flange Beam,ASTM A500 Grade B,35.03
21,PL 1/2 Steel Plate,ASTM A992,13.16
2,C10x15.3 Channel,ASTM A36,13.37
9,W10x22 Wide Flange Beam,ASTM A709 Grade 50,11.88
24,C10x15.3 Channel,ASTM A709 Grade 50,30.71
25,PL 3/8 Steel Plate,ASTM A992,39.81
7,PL 1/2 Steel Plate,ASTM A588,38.96
19,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,10.44
1,L4x4x3/8 Angle,ASTM A709 Grade 50,32.42
14,W10x22 Wide Flange Beam,ASTM A500 Grade B,11.46
10,HSS4x4x1/4 Hollow Structural Section,ASTM A588,33.61
7,PL 1/2 Steel Plate,ASTM A588,24.68
17,PL 1/2 Steel Plate,ASTM A36,17.2
43,L4x4x3/8 Angle,ASTM A992,10.23
35,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,35.35
22,C8x11.5 Channel,ASTM A36,38.15
21,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,16.28
48,L3x3x1/4 Angle,ASTM A36,16.84
42,W8x18 Wide Flange Beam,ASTM A709 Grade 50,26.65
1,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,36.03
8,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,11.81
19,C8x11.5 Channel,ASTM A709 Grade 50,22.48
13,W10x22 Wide Flange Beam,ASTM A588,37.47
10,HSS6x6x3/8 Hollow Structural Section,ASTM A588,39.97
35,PL 3/8 Steel Plate,ASTM A992,3.51
47,HSS6x6x3/8 Hollow Structural Section,ASTM A588,18.79
25,HSS4x4x1/4 Hollow Structural Section,ASTM A36,35.71
1,PL 1/2 Steel Plate,ASTM A500 Grade C,15.82
22,HSS6x6x3/8 Hollow Structural Section,ASTM A588,34.85
33,HSS4x4x1/4 Hollow Structural Section,ASTM A36,19.28
14,C8x11.5 Channel,ASTM A36,39.79
33,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,12.6
45,W10x22 Wide Flange Beam,ASTM A992,25.88
29,PL 3/8 Steel Plate,ASTM A572 Grade 50,9.13
50,L4x4x3/8 Angle,ASTM A500 Grade C,17.81
32,PL 3/8 Steel Plate,ASTM A500 Grade B,39.88
20,PL 1/2 Steel Plate,ASTM A500 Grade C,19.99
32,W10x22 Wide Flange Beam,ASTM A572 Grade 50,27.14
50,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,21.92
21,PL 3/8 Steel Plate,ASTM A709 Grade 50,36.86
23,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,29.66
35,L4x4x3/8 Angle,ASTM A992,28.37
17,W8x18 Wide Flange Beam,ASTM A500 Grade C,32.07
1,W10x22 Wide Flange Beam,ASTM A500 Grade B,22.64
46,L4x4x3/8 Angle,ASTM A709 Grade 50,35.56
20,C10x15.3 Channel,ASTM A588,10.51
5,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,33.41
20,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,33.15
14,PL 1/2 Steel Plate,ASTM A572 Grade 50,27.38
26,C10x15.3 Channel,ASTM A500 Grade C,33.05
15,PL 1/2 Steel Plate,ASTM A992,39.21
2,W8x18 Wide Flange Beam,ASTM A709 Grade 50,38.93
9,PL 3/8 Steel Plate,ASTM A500 Grade C,28.97
43,L4x4x3/8 Angle,ASTM A588,20.72
11,HSS4x4x1/4 Hollow Structural Section,ASTM A992,24.04
50,PL 3/8 Steel Plate,ASTM A500 Grade B,13.35
10,PL 3/8 Steel Plate,ASTM A572 Grade 50,38.03
18,HSS6x6x3/8 Hollow Structural Section,ASTM A36,21.12
45,W10x22 Wide Flange Beam,ASTM A588,25.53
28,W10x22 Wide Flange Beam,ASTM A572 Grade 50,3.31
13,PL 1/2 Steel Plate,ASTM A500 Grade B,9.35
49,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,38.61
5,L3x3x1/4 Angle,ASTM A500 Grade C,39.43
21,L4x4x3/8 Angle,ASTM A36,12.51
16,W10x22 Wide Flange Beam,ASTM A992,32.17
27,L4x4x3/8 Angle,ASTM A500 Grade C,10.99
19,C8x11.5 Channel,ASTM A500 Grade B,20.16
13,W10x22 Wide Flange Beam,ASTM A500 Grade C,36.95
28,PL 1/2 Steel Plate,ASTM A992,1.47
1,W10x22 Wide Flange Beam,ASTM A36,30.08
40,C8x11.5 Channel,ASTM A36,19.54
15,PL 3/8 Steel Plate,ASTM A500 Grade B,29.03
49,W10x22 Wide Flange Beam,ASTM A36,4.4
4,W8x18 Wide Flange Beam,ASTM A992,13.96
14,W8x18 Wide Flange Beam,ASTM A500 Grade C,34.63
32,W10x22 Wide Flange Beam,ASTM A36,34.44
3,PL 3/8 Steel Plate,ASTM A36,17.63
2,L3x3x1/4 Angle,ASTM A36,27.5
11,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,27.08
22,W10x22 Wide Flange Beam,ASTM A992,23.86
7,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,22.46
19,C10x15.3 Channel,ASTM A36,7.92
20,W8x18 Wide Flange Beam,ASTM A500 Grade C,7.25
6,L3x3x1/4 Angle,ASTM A588,2.65
31,PL 1/2 Steel Plate,ASTM A500 Grade B,32.84
40,W10x22 Wide Flange Beam,ASTM A588,21.38
37,HSS6x6x3/8 Hollow Structural Section,ASTM A36,39.03
42,PL 1/2 Steel Plate,ASTM A500 Grade C,30.9
11,HSS6x6x3/8 Hollow Structural Section,ASTM A992,25.16
21,PL 3/8 Steel Plate,ASTM A992,23.67
35,L4x4x3/8 Angle,ASTM A588,19.4
46,C8x11.5 Channel,ASTM A588,8.05
44,HSS4x4x1/4 Hollow Structural Section,ASTM A36,4.6
9,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,12.09
35,HSS6x6x3/8 Hollow Structural Section,ASTM A588,38.33
4,L3x3x1/4 Angle,ASTM A992,25.27
48,PL 3/8 Steel Plate,ASTM A500 Grade B,2.79
15,HSS4x4x1/4 Hollow Structural Section,ASTM A572 Grade 50,10.27
49,W10x22 Wide Flange Beam,ASTM A992,34.03
31,PL 1/2 Steel Plate,ASTM A572 Grade 50,3.88
1,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,37.03
39,W10x22 Wide Flange Beam,ASTM A992,35.94
50,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,29.89
21,PL 1/2 Steel Plate,ASTM A36,28.32
31,W10x22 Wide Flange Beam,ASTM A36,3.92
34,L3x3x1/4 Angle,ASTM A572 Grade 50,9.84
31,L3x3x1/4 Angle,ASTM A572 Grade 50,2.7
31,L4x4x3/8 Angle,ASTM A992,35.96
38,C10x15.3 Channel,ASTM A588,28.29
46,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,29.25
7,PL 3/8 Steel Plate,ASTM A709 Grade 50,37.21
20,PL 1/2 Steel Plate,ASTM A709 Grade 50,21.49
1,L3x3x1/4 Angle,ASTM A709 Grade 50,31.02
46,PL 1/2 Steel Plate,ASTM A992,5.6
27,PL 3/8 Steel Plate,ASTM A572 Grade 50,6.39
16,PL 3/8 Steel Plate,ASTM A992,37.12
12,L4x4x3/8 Angle,ASTM A500 Grade B,34.86
26,PL 1/2 Steel Plate,ASTM A709 Grade 50,20.95
21,W10x22 Wide Flange Beam,ASTM A36,24.05
49,W8x18 Wide Flange Beam,ASTM A500 Grade C,8.47
16,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,27.49
19,PL 3/8 Steel Plate,ASTM A36,12.03
38,W8x18 Wide Flange Beam,ASTM A588,11.29
39,W10x22 Wide Flange Beam,ASTM A500 Grade B,9.6
33,L3x3x1/4 Angle,ASTM A500 Grade B,8.9
40,L4x4x3/8 Angle,ASTM A36,39.26
5,C8x11.5 Channel,ASTM A500 Grade B,7.43
2,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,28.5
31,PL 3/8 Steel Plate,ASTM A500 Grade C,17.57
16,L4x4x3/8 Angle,ASTM A992,18.69
42,PL 1/2 Steel Plate,ASTM A709 Grade 50,24.26
4,C8x11.5 Channel,ASTM A992,32.81
39,L4x4x3/8 Angle,ASTM A500 Grade C,14.28
15,C10x15.3 Channel,ASTM A36,9.36
21,C10x15.3 Channel,ASTM A500 Grade C,15.56
41,C10x15.3 Channel,ASTM A992,12.19
20,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade C,5.76
33,C8x11.5 Channel,ASTM A500 Grade C,3.56
47,C10x15.3 Channel,ASTM A709 Grade 50,20.75
19,L3x3x1/4 Angle,ASTM A992,29.95
29,PL 1/2 Steel Plate,ASTM A588,15.26
46,W10x22 Wide Flange Beam,ASTM A709 Grade 50,23.8
26,W8x18 Wide Flange Beam,ASTM A500 Grade C,16.07
45,C8x11.5 Channel,ASTM A500 Grade B,10.33
21,L4x4x3/8 Angle,ASTM A709 Grade 50,6.58
42,HSS6x6x3/8 Hollow Structural Section,ASTM A992,22.36
16,C10x15.3 Channel,ASTM A709 Grade 50,31.85
30,PL 3/8 Steel Plate,ASTM A500 Grade C,8.88
26,C10x15.3 Channel,ASTM A500 Grade B,22.87
43,PL 3/8 Steel Plate,ASTM A500 Grade C,4.24
39,PL 3/8 Steel Plate,ASTM A709 Grade 50,32.15
23,L4x4x3/8 Angle,ASTM A588,2.23
23,HSS4x4x1/4 Hollow Structural Section,ASTM A36,32.75
34,HSS6x6x3/8 Hollow Structural Section,ASTM A36,20.89
14,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,2.54
31,W8x18 Wide Flange Beam,ASTM A500 Grade B,5.54
35,C8x11.5 Channel,ASTM A588,30.44
40,L3x3x1/4 Angle,ASTM A709 Grade 50,35.81
6,L3x3x1/4 Angle,ASTM A588,11.62
20,HSS6x6x3/8 Hollow Structural Section,ASTM A588,18.05
40,L3x3x1/4 Angle,ASTM A709 Grade 50,1.31
21,W10x22 Wide Flange Beam,ASTM A588,18.79
35,HSS4x4x1/4 Hollow Structural Section,ASTM A588,11.69
50,W10x22 Wide Flange Beam,ASTM A709 Grade 50,22.52
29,C8x11.5 Channel,ASTM A500 Grade C,15.09
13,HSS6x6x3/8 Hollow Structural Section,ASTM A36,27.29
34,L3x3x1/4 Angle,ASTM A500 Grade C,29.37
4,L3x3x1/4 Angle,ASTM A500 Grade C,14.02
2,L4x4x3/8 Angle,ASTM A709 Grade 50,12.75
41,HSS4x4x1/4 Hollow Structural Section,ASTM A588,7.69
26,C8x11.5 Channel,ASTM A500 Grade C,29.28
18,L3x3x1/4 Angle,ASTM A709 Grade 50,21.28
28,L4x4x3/8 Angle,ASTM A36,23.78
24,PL 3/8 Steel Plate,ASTM A36,12.8
5,HSS4x4x1/4 Hollow Structural Section,ASTM A588,18.52
8,W8x18 Wide Flange Beam,ASTM A709 Grade 50,22.13
8,W10x22 Wide Flange Beam,ASTM A572 Grade 50,5.33
30,HSS4x4x1/4 Hollow Structural Section,ASTM A588,11.95
35,W10x22 Wide Flange Beam,ASTM A709 Grade 50,20.41
9,PL 1/2 Steel Plate,ASTM A588,28.44
8,PL 1/2 Steel Plate,ASTM A709 Grade 50,10.88
47,HSS6x6x3/8 Hollow Structural Section,ASTM A588,5.8
46,C8x11.5 Channel,ASTM A36,1.83
1,L4x4x3/8 Angle,ASTM A500 Grade B,24.03
9,W8x18 Wide Flange Beam,ASTM A500 Grade C,20.78
37,L3x3x1/4 Angle,ASTM A572 Grade 50,36.0
24,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,17.55
45,PL 1/2 Steel Plate,ASTM A500 Grade B,29.98
13,C10x15.3 Channel,ASTM A500 Grade C,21.63
28,L3x3x1/4 Angle,ASTM A992,9.01
26,W10x22 Wide Flange Beam,ASTM A500 Grade B,4.39
22,C8x11.5 Channel,ASTM A572 Grade 50,21.23
14,HSS4x4x1/4 Hollow Structural Section,ASTM A36,20.46
34,PL 1/2 Steel Plate,ASTM A572 Grade 50,1.48
42,C8x11.5 Channel,ASTM A36,5.6
34,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade B,30.01
33,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,10.3
10,PL 1/2 Steel Plate,ASTM A572 Grade 50,39.01
2,PL 1/2 Steel Plate,ASTM A500 Grade C,3.58
5,W8x18 Wide Flange Beam,ASTM A709 Grade 50,6.86
39,PL 3/8 Steel Plate,ASTM A500 Grade B,39.4
19,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,11.24
21,W10x22 Wide Flange Beam,ASTM A709 Grade 50,11.28
42,L3x3x1/4 Angle,ASTM A36,34.95
16,PL 1/2 Steel Plate,ASTM A36,18.46
15,C8x11.5 Channel,ASTM A500 Grade B,28.39
3,W10x22 Wide Flange Beam,ASTM A36,37.92
34,C10x15.3 Channel,ASTM A572 Grade 50,11.65
10,L3x3x1/4 Angle,ASTM A992,35.26
1,C10x15.3 Channel,ASTM A36,4.03
28,W8x18 Wide Flange Beam,ASTM A500 Grade C,27.84
31,C10x15.3 Channel,ASTM A500 Grade C,17.28
11,PL 1/2 Steel Plate,ASTM A572 Grade 50,3.03
36,L4x4x3/8 Angle,ASTM A36,1.56
48,C10x15.3 Channel,ASTM A572 Grade 50,1.67
30,PL 3/8 Steel Plate,ASTM A36,19.32
6,L4x4x3/8 Angle,ASTM A709 Grade 50,21.16
6,PL 1/2 Steel Plate,ASTM A992,7.26
43,HSS4x4x1/4 Hollow Structural Section,ASTM A992,20.63
39,L3x3x1/4 Angle,ASTM A992,20.78
41,W8x18 Wide Flange Beam,ASTM A992,13.4
32,C10x15.3 Channel,ASTM A992,19.21
41,W8x18 Wide Flange Beam,ASTM A992,4.21
47,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,31.27
23,HSS6x6x3/8 Hollow Structural Section,ASTM A500 Grade C,33.52
30,W8x18 Wide Flange Beam,ASTM A992,31.46
39,L4x4x3/8 Angle,ASTM A572 Grade 50,22.88
10,L3x3x1/4 Angle,ASTM A36,21.55
19,C8x11.5 Channel,ASTM A709 Grade 50,13.91
32,PL 3/8 Steel Plate,ASTM A500 Grade C,5.55
27,C8x11.5 Channel,ASTM A500 Grade B,1.38
29,L4x4x3/8 Angle,ASTM A709 Grade 50,39.33
22,W10x22 Wide Flange Beam,ASTM A500 Grade C,34.14
44,PL 1/2 Steel Plate,ASTM A572 Grade 50,14.07
23,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,20.75
35,PL 1/2 Steel Plate,ASTM A500 Grade B,11.49
21,PL 3/8 Steel Plate,ASTM A36,13.69
19,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,17.58
28,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,37.3
31,L3x3x1/4 Angle,ASTM A500 Grade C,29.29
34,C8x11.5 Channel,ASTM A500 Grade B,22.42
37,C10x15.3 Channel,ASTM A500 Grade B,5.4
22,W8x18 Wide Flange Beam,ASTM A992,7.63
21,C8x11.5 Channel,ASTM A992,23.06
41,C8x11.5 Channel,ASTM A36,9.66
17,PL 1/2 Steel Plate,ASTM A588,23.97
2,W10x22 Wide Flange Beam,ASTM A588,4.71
9,HSS6x6x3/8 Hollow Structural Section,ASTM A36,16.22
29,HSS6x6x3/8 Hollow Structural Section,ASTM A709 Grade 50,9.36
28,C10x15.3 Channel,ASTM A709 Grade 50,34.67
5,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,29.21
29,HSS4x4x1/4 Hollow Structural Section,ASTM A709 Grade 50,39.99
18,L3x3x1/4 Angle,ASTM A500 Grade B,30.66
11,C8x11.5 Channel,ASTM A992,10.79
11,PL 3/8 Steel Plate,ASTM A588,27.89
26,L4x4x3/8 Angle,ASTM A572 Grade 50,31.3
34,W10x22 Wide Flange Beam,ASTM A588,12.84
5,C10x15.3 Channel,ASTM A992,7.77
28,C10x15.3 Channel,ASTM A572 Grade 50,5.03
19,C8x11.5 Channel,ASTM A36,9.86
34,PL 3/8 Steel Plate,ASTM A709 Grade 50,32.99
42,C10x15.3 Channel,ASTM A500 Grade B,38.13
4,PL 1/2 Steel Plate,ASTM A36,20.01
3,HSS4x4x1/4 Hollow Structural Section,ASTM A992,12.54
18,PL 3/8 Steel Plate,ASTM A572 Grade 50,15.91
15,PL 3/8 Steel Plate,ASTM A36,8.33
24,PL 1/2 Steel Plate,ASTM A572 Grade 50,33.84
9,C8x11.5 Channel,ASTM A36,21.42
34,PL 1/2 Steel Plate,ASTM A36,35.27
40,PL 3/8 Steel Plate,ASTM A36,17.69
32,L3x3x1/4 Angle,ASTM A588,24.13
43,PL 3/8 Steel Plate,ASTM A588,36.99
18,PL 3/8 Steel Plate,ASTM A500 Grade C,19.27
12,L3x3x1/4 Angle,ASTM A588,8.8
37,HSS6x6x3/8 Hollow Structural Section,ASTM A588,27.0
30,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,32.08
44,HSS4x4x1/4 Hollow Structural Section,ASTM A500 Grade B,24.85
30,L3x3x1/4 Angle,ASTM A709 Grade 50,26.76
7,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,14.99
8,HSS6x6x3/8 Hollow Structural Section,ASTM A992,29.56
37,L4x4x3/8 Angle,ASTM A588,16.44
13,C8x11.5 Channel,ASTM A992,19.67
38,HSS4x4x1/4 Hollow Structural Section,ASTM A36,3.47
41,C8x11.5 Channel,ASTM A992,6.09
47,PL 1/2 Steel Plate,ASTM A500 Grade B,16.16
27,PL 1/2 Steel Plate,ASTM A588,10.41
18,C10x15.3 Channel,ASTM A36,8.9
11,HSS6x6x3/8 Hollow Structural Section,ASTM A572 Grade 50,15.47
16,W10x22 Wide Flange Beam,ASTM A992,24.91
35,PL 1/2 Steel Plate,ASTM A36,18.98
14,C8x11.5 Channel,ASTM A572 Grade 50,25.2
